Accession,Organism_Name,Species,Pangolin,PangoVersions,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
OQ852525,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.4.1.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 720,29700,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-05-28,2023-04-21,ssRNA(+)
OQ852526,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.10,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 736,29702,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-06-01,2023-04-21,ssRNA(+)
OQ852527,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 737,29717,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-06-01,2023-04-21,ssRNA(+)
OQ852528,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.38,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 743,29711,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-06-01,2023-04-21,ssRNA(+)
OQ852529,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.4.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 744,29697,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-06-01,2023-04-21,ssRNA(+)
OQ852530,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.12.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 755,29720,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-06-03,2023-04-21,ssRNA(+)
OQ852532,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.76,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 769,29716,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-06-04,2023-04-21,ssRNA(+)
OQ852533,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.43,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 771,29715,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-06-04,2023-04-21,ssRNA(+)
OQ852534,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BF.3.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 772,29724,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-06-05,2023-04-21,ssRNA(+)
OQ852535,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BF.3,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 773,29708,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-06-05,2023-04-21,ssRNA(+)
OQ852536,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 776,29747,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-06-05,2023-04-21,ssRNA(+)
OQ852537,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.5.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 790,29714,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-06-07,2023-04-21,ssRNA(+)
OQ852538,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.5.2.20,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 838,29710,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-06-11,2023-04-21,ssRNA(+)
OQ852539,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.43,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 840,29716,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-06-12,2023-04-21,ssRNA(+)
OQ852540,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.78,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 848,29717,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-06-12,2023-04-21,ssRNA(+)
OQ852542,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.5.2.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 879,29710,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-07-27,2023-04-21,ssRNA(+)
OQ852543,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.75,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 900,29737,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-07-30,2023-04-21,ssRNA(+)
OQ852545,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.5.2.36,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 907,29730,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-07-31,2023-04-21,ssRNA(+)
OQ852546,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BF.10,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 916,29720,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-08-01,2023-04-21,ssRNA(+)
OQ852547,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.76,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 928,29723,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-08-03,2023-04-21,ssRNA(+)
OQ852548,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BL.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 937,29754,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-08-07,2023-04-21,ssRNA(+)
OQ852549,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.5.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 939,29710,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-08-07,2023-04-21,ssRNA(+)
OQ852550,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.5.2.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 956,29702,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-08-09,2023-04-21,ssRNA(+)
OQ852551,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.75,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 960,29718,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-08-09,2023-04-21,ssRNA(+)
OQ852552,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BF.3,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 966,29722,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-08-10,2023-04-21,ssRNA(+)
OQ852553,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BF.4,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 993,29711,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-08-14,2023-04-21,ssRNA(+)
OQ852554,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.75.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 999,29716,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-08-14,2023-04-21,ssRNA(+)
OQ852555,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.75.5,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1004,29761,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-08-15,2023-04-21,ssRNA(+)
OQ852558,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BL.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1026,29711,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-09-01,2023-04-21,ssRNA(+)
OQ852559,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.75.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1028,29714,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-09-02,2023-04-21,ssRNA(+)
OQ852560,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.75.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1029,29742,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-09-02,2023-04-21,ssRNA(+)
OQ852561,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,CA.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1031,29719,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-09-02,2023-04-21,ssRNA(+)
OQ852562,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,CA.3,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1034,29678,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-09-02,2023-04-21,ssRNA(+)
OQ852563,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BY.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1042,29729,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-09-04,2023-04-21,ssRNA(+)
OQ852564,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BN.6,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1043,29738,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-09-04,2023-04-21,ssRNA(+)
OQ852566,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BM.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1048,29757,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-09-05,2023-04-21,ssRNA(+)
OQ852567,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.75.5,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1053,29719,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-09-06,2023-04-21,ssRNA(+)
OQ852568,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,CH.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1054,29729,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-09-06,2023-04-21,ssRNA(+)
OQ852571,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BM.4.1.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1098,29730,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-09-11,2023-04-21,ssRNA(+)
OQ852572,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BF.28,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1099,29730,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-09-12,2023-04-21,ssRNA(+)
OQ852573,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BL.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1110,29711,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-09-15,2023-04-21,ssRNA(+)
OQ852574,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BN.1.3,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1130,29728,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-09-18,2023-04-21,ssRNA(+)
OQ852575,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XBB.3,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1139,29708,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-09-19,2023-04-21,ssRNA(+)
OQ852576,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.5.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1141,29751,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-09-19,2023-04-21,ssRNA(+)
OQ852577,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BN.1.4,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1148,29714,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-09-20,2023-04-21,ssRNA(+)
OQ852578,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BF.3.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1149,29712,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-09-21,2023-04-21,ssRNA(+)
OQ852580,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.75.5,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1158,29716,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-09-22,2023-04-21,ssRNA(+)
OQ852581,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.75.7,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1164,29716,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-09-23,2023-04-21,ssRNA(+)
OQ852582,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BN.6,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1165,29716,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-09-23,2023-04-21,ssRNA(+)
OQ852583,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XBB.3,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1172,29690,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-09-26,2023-04-21,ssRNA(+)
OQ852584,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BF.3,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1176,29732,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-09-27,2023-04-21,ssRNA(+)
OQ852586,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.75.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1196,29715,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-10-02,2023-04-21,ssRNA(+)
OQ852588,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XBB.3,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1202,29712,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-10-03,2023-04-21,ssRNA(+)
OQ852589,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XBB.5,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1206,29702,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-10-04,2023-04-21,ssRNA(+)
OQ852590,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XBD,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1209,29712,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-10-05,2023-04-21,ssRNA(+)
OQ852591,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.75.5,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1220,29716,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-10-08,2023-04-21,ssRNA(+)
OQ852592,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XBB,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1224,29694,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-10-10,2023-04-21,ssRNA(+)
OQ852593,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BM.4.1.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1231,29713,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-10-11,2023-04-21,ssRNA(+)
OQ852594,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XBB.3,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1240,29709,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-11-29,2023-04-21,ssRNA(+)
OQ852595,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XBB.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1242,29712,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-11-30,2023-04-21,ssRNA(+)
OQ852596,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XBB,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1244,29743,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-12-01,2023-04-21,ssRNA(+)
OQ852597,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1245,29789,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-12-01,2023-04-21,ssRNA(+)
OQ852598,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.5.2.9,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1247,29706,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-12-01,2023-04-21,ssRNA(+)
OQ852599,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BL.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1248,29714,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-12-01,2023-04-21,ssRNA(+)
OQ852602,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BQ.1.1.3,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1251,29715,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-12-03,2023-04-21,ssRNA(+)
OQ852603,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BN.1.4,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1252,29712,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-12-04,2023-04-21,ssRNA(+)
OQ852604,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BQ.1.1.18,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1253,29709,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-12-04,2023-04-21,ssRNA(+)
OQ852605,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XBB.3,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1254,29718,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-12-05,2023-04-21,ssRNA(+)
OQ852606,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BN.1.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1256,29715,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-12-05,2023-04-21,ssRNA(+)
OQ852607,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BF.7.15,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1258,29706,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-12-05,2023-04-21,ssRNA(+)
OQ852608,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,CH.1.1.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1259,29729,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-12-05,2023-04-21,ssRNA(+)
OQ852609,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,DY.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1260,29677,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-12-05,2023-04-21,ssRNA(+)
OQ852610,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XBB.2.3,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1421,29773,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2023-01-03,2023-04-21,ssRNA(+)
OQ852613,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XBB,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1415,29752,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2023-01-02,2023-04-21,ssRNA(+)
OQ852615,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XBB.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1422,29766,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2023-01-03,2023-04-21,ssRNA(+)
OQ852616,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BQ.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1410,29769,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2023-01-01,2023-04-21,ssRNA(+)
OQ852617,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,CH.1.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1472,29768,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2023-01-22,2023-04-21,ssRNA(+)
OQ852618,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.10.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1452,29796,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2023-01-10,2023-04-21,ssRNA(+)
OQ852621,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XBB.2.3,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1486,29770,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2023-02-03,2023-04-21,ssRNA(+)
OQ852622,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XBB.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1513,29764,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2023-02-13,2023-04-21,ssRNA(+)
OQ852624,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XBB,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1491,29788,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2023-02-05,2023-04-21,ssRNA(+)
OQ852627,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.10.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1552,29789,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2023-02-26,2023-04-21,ssRNA(+)
OQ852631,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XBB.2.3.12,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,NGS - 1651,29767,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2023-03-09,2023-04-21,ssRNA(+)
OQ701225,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.10.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,2817,29789,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2023-03-11,2023-03-28,ssRNA(+)
OQ701229,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.10.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,2821,29789,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2023-02-26,2023-03-28,ssRNA(+)
OQ701235,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.10.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,2829,29834,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2023-02-24,2023-03-28,ssRNA(+)
OQ701238,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XBB.2.3,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,2833,29768,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2023-03-07,2023-03-28,ssRNA(+)
OQ701263,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.10.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,2895,29789,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2023-03-01,2023-03-28,ssRNA(+)
OQ701287,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XBB.2.3.12,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,2929,29767,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2023-03-08,2023-03-28,ssRNA(+)
OQ701297,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XBB.2.3,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,2943,29747,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2023-03-09,2023-03-28,ssRNA(+)
OQ701299,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XBB.2.3.9,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,2945,29774,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2023-03-09,2023-03-28,ssRNA(+)
OQ701310,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XBB.2.3,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,2962,29766,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2023-03-14,2023-03-28,ssRNA(+)
OQ652149,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XBB.3,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,Sample196,29753,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-12-13,2023-03-19,ssRNA(+)
OQ652150,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XBB.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,Sample216,29768,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-12-27,2023-03-19,ssRNA(+)
OQ652151,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XBB.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,Sample218,29756,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-12-28,2023-03-19,ssRNA(+)
OQ652056,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XBB.9,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,Sample183,29714,complete,India,Homo sapiens,,"Raju,S.",2022-12-05,2023-03-18,ssRNA(+)
OQ652067,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XBB.3,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,Sample044,29708,complete,India,Homo sapiens,,"Raju,S.",2022-09-30,2023-03-18,ssRNA(+)
OQ587517,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XBB.3,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,Sample018,29772,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-09-17,2023-03-08,ssRNA(+)
OQ587518,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XBB.5,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,Sample027,29780,complete,India,Homo sapiens,oronasopharynx,"Raju,S.",2022-09-20,2023-03-08,ssRNA(+)
